NUM;TAG;NAME
0;bl6NkGXPPtrNKVeUngw1FEcXktxnhQNpOqZjVQ4tE3OoxyUEtKsPd3UzFFsNkTq3;Crash Course Physics Preview
1;PF0jeuc8OJrlMLLW3LHlVPb06P8nOIbzu4f0lLZwhtWA8jWElKTLntDl09XPwlo1;Motion in a Straight Line： Crash Course Physics
2;e1JnoEEHNbGyIskPWhDPLVZvr2V8Hpp6GiBTrtqTP4csV992rOQvRmWaRNZPufhd;Derivatives： Crash Course Physics
3;klfMNASOYWEFoFPuVz2Cp7Zn20KhbqO2e6VFkfae5rBt8R0RP90tdMj6YYPT40qs;Integrals： Crash Course Physics
4;d85VRB8th0yorcvR1Qk4GHp78MQEUaaLGp8Ei5u3C6MzdpDnN07gp8nsf8tZJW6Q;Vectors and 2D Motion： Crash Course Physics
5;q5Dcn6NU5fcDfsmn9WpTqNAVHMPWfMkj76oIxRyevwWaCWUoFSDnqzjMtRpesBcf;Newton's Laws： Crash Course Physics
6;JkZM5kNhRrly2BoI7BYdYmmMfGYjKiEox7jJxQC04SBo1Prek7vu2QVUCp6BqGpx;Friction： Crash Course Physics
7;JjhuDv58V3VCMLyt4wXT0buH3Quul8GVg49ES1r0A3ndGwO4AydtXTS84piOQunN;Uniform Circular Motion： Crash Course Physics
8;QfP957O6EzU47JwhUPwNVrHCtZKowkOWAwI1M83CMLhkwJVYyl4dZInD0ZOWAtNG;Newtonian Gravity： Crash Course Physics
9;nmpbimLJbkzjy29a8c4jPbY3foMaGCON1Hm8M1600ndw3dC8tFOA6k3XYM0t0EzW;Work, Energy, and Power： Crash Course Physics
10;MxXPjQcxfYA6DTuI4JTQt69T0CYKi5E240Ufi3ysPlVrKnWs27J3342tZftp0qOA;Collisions： Crash Course Physics
11;1YinGee90hMkwqLcDCHUMXqaiflmNOkGSXEzjzLQRB4teWy8R64yDMhI7Gy9SX51;Rotational Motion： Crash Course Physics
12;tlcX5W8VeIv9DqBkIas3SJBl1Q7baRs0OxPvPIAOtQm4XbsI2DyUZYJTB6mtFk5t;Torque： Crash Course Physics
13;HtLXb9UNSHy8eZynzHzowRp9eQEDjLZQ1GCFoaySw0rPGzyUwje2x2ng1LfIa2jh;Statics： Crash Course Physics
14;d2ARDhRUlN0a58StM9XK07cAcrCxdVPpFtTcb9v9SCaIJaQxDDbzDiu2Mg2iNowY;Fluids at Rest： Crash Course Physics
15;IMcxKKjkhuMrxMyr6C99SPihQrVUvdlXith4BDLCs4TqVJ8j04j3PMcDxinZZVnQ;Fluids in Motion： Crash Course Physics
16;Akh1DjQGcFBlsMnHtkuKdeIcZRsq2HVlo0M3WeJHfkYzvC1EqHqRuZNt6jmXTzIV;Simple Harmonic Motion： Crash Course Physics
17;O8PFjB7KlFfxVOwGNbXPfQ2vlPG8ghnfPrMpybxAmALbGiQI7GRSxmissNbdJTyY;Traveling Waves： Crash Course Physics
18;5iWCYuYnbgv4ZZtqNP1m0xM8gD56MOmvAOR6jiJunk7D5oFAKvq6w0gOwicR1lN3;Sound： Crash Course Physics
19;J0LDntbb0Q9YZluETua87NmPVbR8ErUTc7DB58N7lH7v5EZs2ZHcBRtjm4n7Tcpg;The Physics of Music： Crash Course Physics
20;htjUMG2mPmpZRzHaP3XnWO1eN5fGbz1CAfTCoD3MabpOIzX0Od1FFOpS2voqXUtl;Temperature： Crash Course Physics
21;GkzBu1woMUiIy1diKPrt04EJ5GsKZdocxGbqae1h2l8TEtPQ3G2dFwntk2zHtUIG;Kinetic Theory and Phase Changes： Crash Course Physics
22;ox47h3yphGmP58q4WmgafzghykpdyDsI8rfU86ZTDXwLFuymc4TKxUWz4o4vRVq5;The Physics of Heat： Crash Course Physics
23;rg7aMEpIkcPQEbcnpjITetKUFZiGqhIu0fkpMbnes85V1nnePupLlNhHpBTQyzyO;Thermodynamics： Crash Course Physics
24;yENc8rZJugESLLX9O2YJXp7yuA0CiSb4SmI0gDPUnOgA5OJ7eppzi62loOdA2CMt;Engines： Crash Course Physics
25;RGLOJEPfdXiXUPzg3KTZKPQyvBPsz0hcD9KtJGNOQKHxlrKFlhs3yejRpRjvxCR0;Electric Charge： Crash Course Physics
26;4UxFU6Urgdqr9MzADkOYEnjPE4pTuUjtG3XjF6FNnDOtFA1vXSse9ibF1Ix7phC9;Electric Fields： Crash Course Physics
27;0OhfCYWBP39FIJ6dORjdbfvmhO8a0QHOWRRokOoBArvtkT40Gfbev3wkr4Bdnyu4;Voltage, Electric Energy, and Capacitors： Crash Course Physics
28;o0WbKyT9JUhesmr4QlG1pYO2Oho6AM09E367lA8XApT4oWWSIWR4UbFhGB3ij7q0;Electric Current： Crash Course Physics
29;Ui0mqv5JQaBBrc0qhlKpzkgwZSSoclIkwdOInFho7GrDgD56dFbls29uKsG8NGjQ;DC Resistors & Batteries： Crash Course Physics
30;ElCRtVmpgxFwGkgcxcTNa513hU672iG2CaR9ERgzruFANjbdLf4GOzHqpjkYWXC3;Circuit Analysis： Crash Course Physics
31;eFENc0p20nOUuOzCf7uP0vEBhDFJhNy5NweSE7mI8nYPkzCOMkvEAfSbCPwbSB7F;Capacitors and Kirchhoff： Crash Course Physics
32;3B9PNK0DuI5teoerg4NoOKmXwgBKOHvM3hFp9IjD61l8odsbv3eVVDS9CtsfU5JU;Magnetism： Crash Course Physics
33;NL7JQ4tCvmJyLtjcJTBXXd4cuU4Q3x6Nej8k8KgH2iM3IhL8zOYvERYqE5sxkHiF;Ampère's Law： Crash Course Physics
34;JnWea2LkvOlkGiv2HqeQNY9T970jiedZrFBACL64ZGPUcYZLRXf2atFynrWxGYWH;Induction - An Introduction： Crash Course Physics
35;zWCM0VcB4TITUgSyuyTsllWuwEGkXNlYejN1Y3EbPyH1Puz0OZQUiHcLANDir3pD;How Power Gets to Your Home： Crash Course Physics
36;LT1ICA8ESVg8BFfRbelNEYRB8emrG7uzOoGLcy8uDy6HQsnBSjgEtY14cyPgZz9T;AC Circuits： Crash Course Physics
37;V9ksBl89Rwdrn5epV1AAAM41xKOGipWBVrdYfRJ8qozUAO207q6EF1bFoNk6nhDP;Maxwell's Equations： Crash Course Physics
38;0SnGhpKkMgI3uHDdMIqZbvXMc8Dnfca4KFWRp53AjvqEHPrqYoEoNKWO9284qTeS;Geometric Optics： Crash Course Physics
39;ttIyfd3VaUZ9Namv2W9N3jATU7YUnH2dvTQVP7mWHV7nDqVPbpBzXYWhIqmdsX0I;Light Is Waves： Crash Course Physics
40;2tUL543XXLKY27nhMAFeUZoxNOY0QIsBmhT1PSmaAPmSghJfOIeG4Q82TunzZcG2;Spectra Interference： Crash Course Physics
41;s6BuY6oOOB1JfeB29MT8RX7PyxrYWIBe69UYVkyQ7LlLfqMVYb63K9Wbho6cwhdY;Optical Instruments： Crash Course Physics
42;cyPG2oQiQ1uMMquwWAtwfHxIisq8qc5NjlTVnwKhvOjfImMBV9a26D94zMSllkje;Special Relativity： Crash Course Physics
43;AAb3j9mKgk05KnCndXXfVbBGndedATmsGRuHUlUn42JC6ivsmjBZWsUqv1xXuF6T;Quantum Mechanics - Part 1： Crash Course Physics
44;RbABNwo2AEuOSLwvDxVpVbwuo54UPB6eQiJFB8qDyTNqo6y2TtmK4ErwMbzFldIE;Quantum Mechanics - Part 2： Crash Course Physics
45;cTygfguNaHzRC1Pd0dpgJ37vlLfy3AL0PC1M3gmv28Cky7NAkHQub4N12JBOkqA0;Nuclear Physics： Crash Course Physics
46;PCb5qkXvAe1m1tIoL8r196rM56V2Njoj7PVRYM9ENBX1MK1c2LjtY3gRCUuogeDQ;Astrophysics and Cosmology： Crash Course Physics
